央视频道,#genre#

CCTV,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3606/index.m3u8
CCTV,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/360/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3648/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3609/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3600/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35734/index.m3u8
CCTV0,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35730/index.m3u8
CCTV,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35597/index.m3u8
CCTV,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3573/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/360/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3573/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3560/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3600/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35765/index.m3u8



CCTV,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3606/index.m3u8
CCTV,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/35588/index.m3u8
CCTV3,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/360/index.m3u8
CCTV4,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/36007/index.m3u8
CCTV5,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3609/index.m3u8
CCTV5+,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/35603/index.m3u8
CCTV6,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3600/index.m3u8
CCTV7,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/35733/index.m3u8
CCTV8,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/36008/index.m3u8
CCTV9,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/35734/index.m3u8
CCTV0,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/35730/index.m3u8
CCTV,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/35597/index.m3u8
CCTV,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3573/index.m3u8
CCTV3,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/360/index.m3u8
CCTV4,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3573/index.m3u8
CCTV5,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3560/index.m3u8
CCTV6,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3600/index.m3u8
CCTV7,http://[409:8087:a0:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/35765/index.m3u8

CCTV,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3586/index.m3u8
CCTV3,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35799/index.m3u8
CCTV5,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3588/index.m3u8
CCTV5+,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35507/index.m3u8
CCTV6,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3584/index.m3u8
CCTV7,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3567/index.m3u8
CCTV8,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35795/index.m3u8
CCTV9,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35676/index.m3u8
CCTV0,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35677/index.m3u8
CCTV,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3557/index.m3u8
CCTV,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35669/index.m3u8
CCTV3,http://[409:8087:a0:df::4077]/PLTV/88888888/4/358/index.m3u8
CCTV4,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35674/index.m3u8
CCTV5,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3553/index.m3u8
CCTV6,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35893/index.m3u8
CCTV7,http://[409:8087:a0:df::4077]/PLTV/88888888/4/35708/index.m3u8

CCTV,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN8BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC4fzxhy5Y
